outer_fold,model,trial_number,inner_cv_mean_mae,state,parameters_json
1,random_forest,5,15.519322226382863,COMPLETE,"{""max_depth"": 5, ""max_features"": 0.5185865893933832, ""min_samples_leaf"": 2, ""n_estimators"": 200}"
1,random_forest,6,15.28385392392299,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.98098939690791, ""min_samples_leaf"": 4, ""n_estimators"": 100}"
1,random_forest,7,14.66325240095903,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.9154022062848375, ""min_samples_leaf"": 7, ""n_estimators"": 250}"
1,random_forest,8,15.030011029711067,COMPLETE,"{""max_depth"": 13, ""max_features"": 0.5152709663812415, ""min_samples_leaf"": 2, ""n_estimators"": 75}"
1,random_forest,9,15.594809590409549,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.7315099703159844, ""min_samples_leaf"": 2, ""n_estimators"": 225}"
1,random_forest,10,14.791717921607335,COMPLETE,"{""max_depth"": 19, ""max_features"": 0.9454596462285599, ""min_samples_leaf"": 8, ""n_estimators"": 250}"
1,random_forest,11,14.626105449392805,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.8483265210299586, ""min_samples_leaf"": 8, ""n_estimators"": 125}"
1,random_forest,12,14.87240531825633,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.8474701438987846, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
1,random_forest,13,15.029350845574992,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.8616413161072002, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
1,random_forest,14,14.572727570890686,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.8729803657693358, ""min_samples_leaf"": 6, ""n_estimators"": 250}"
1,random_forest,15,14.778650500428707,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.7736079731192007, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
1,random_forest,16,14.756676266783575,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.8181107635744914, ""min_samples_leaf"": 7, ""n_estimators"": 225}"
1,random_forest,17,14.812280699217684,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.654123302710224, ""min_samples_leaf"": 6, ""n_estimators"": 125}"
1,random_forest,18,14.884954748455167,COMPLETE,"{""max_depth"": 16, ""max_features"": 0.8962088509632284, ""min_samples_leaf"": 8, ""n_estimators"": 225}"
1,random_forest,19,14.996443219959849,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.7977639895501041, ""min_samples_leaf"": 5, ""n_estimators"": 175}"
1,gradient_boosting,0,17.802591067573395,COMPLETE,"{""learning_rate"": 0.14425922174859396, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 50}"
1,gradient_boosting,1,13.245315762532329,COMPLETE,"{""learning_rate"": 0.04580259471505711, ""max_depth"": 3, ""min_samples_leaf"": 7, ""n_estimators"": 200}"
1,gradient_boosting,2,20.71844402638798,COMPLETE,"{""learning_rate"": 0.024211811894855925, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 200}"
1,gradient_boosting,3,16.625247380393144,COMPLETE,"{""learning_rate"": 0.022224225120147708, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 225}"
1,gradient_boosting,4,15.36568317186564,COMPLETE,"{""learning_rate"": 0.032307295647369214, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 250}"
1,gradient_boosting,5,14.217566913710659,COMPLETE,"{""learning_rate"": 0.0510600057356542, ""max_depth"": 4, ""min_samples_leaf"": 8, ""n_estimators"": 250}"
1,gradient_boosting,6,21.26719449127628,COMPLETE,"{""learning_rate"": 0.011868968768420632, ""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 75}"
1,gradient_boosting,7,17.679518999110705,COMPLETE,"{""learning_rate"": 0.07168190137295621, ""max_depth"": 3, ""min_samples_leaf"": 3, ""n_estimators"": 225}"
1,gradient_boosting,8,14.611758792360675,COMPLETE,"{""learning_rate"": 0.037129295316425476, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 75}"
1,gradient_boosting,9,13.878360479395422,COMPLETE,"{""learning_rate"": 0.08865544374511886, ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 75}"
1,gradient_boosting,10,16.721538672801923,COMPLETE,"{""learning_rate"": 0.010796786849962502, ""max_depth"": 2, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
1,gradient_boosting,11,15.340518209833306,COMPLETE,"{""learning_rate"": 0.10751309463649686, ""max_depth"": 2, ""min_samples_leaf"": 8, ""n_estimators"": 150}"
1,gradient_boosting,12,15.064798603954946,COMPLETE,"{""learning_rate"": 0.07534114785675736, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
1,gradient_boosting,13,15.73673666838352,COMPLETE,"{""learning_rate"": 0.19224370055593282, ""max_depth"": 3, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
1,gradient_boosting,14,14.97715314891968,COMPLETE,"{""learning_rate"": 0.07448373255650469, ""max_depth"": 4, ""min_samples_leaf"": 6, ""n_estimators"": 175}"
1,gradient_boosting,15,13.422422303680175,COMPLETE,"{""learning_rate"": 0.04749623298802113, ""max_depth"": 5, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
1,gradient_boosting,16,13.803146918994543,COMPLETE,"{""learning_rate"": 0.04792408057123068, ""max_depth"": 5, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
1,gradient_boosting,17,13.50377356739079,COMPLETE,"{""learning_rate"": 0.018188904713377172, ""max_depth"": 5, ""min_samples_leaf"": 6, ""n_estimators"": 175}"
1,gradient_boosting,18,14.832636548080377,COMPLETE,"{""learning_rate"": 0.05099558426584213, ""max_depth"": 5, ""min_samples_leaf"": 5, ""n_estimators"": 50}"
1,gradient_boosting,19,13.07239150219487,COMPLETE,"{""learning_rate"": 0.0412561592527323, ""max_depth"": 4, ""min_samples_leaf"": 7, ""n_estimators"": 100}"
2,ridge,0,25.978519223774537,COMPLETE,"{""alpha"": 2.6511375980537273}"
2,ridge,1,78.77090582525611,COMPLETE,"{""alpha"": 0.001888080717345809}"
2,ridge,2,28.221069976340225,COMPLETE,"{""alpha"": 1.7292990110051834}"
2,ridge,3,33.61814841748871,COMPLETE,"{""alpha"": 0.7918552074908762}"
2,ridge,4,58.33649936510166,COMPLETE,"{""alpha"": 0.048310092490597374}"
2,ridge,5,73.99190363426432,COMPLETE,"{""alpha"": 0.0034469500695928916}"
2,ridge,6,29.80468554929171,COMPLETE,"{""alpha"": 1.344859637204682}"
2,ridge,7,21.094494305545396,COMPLETE,"{""alpha"": 15.820155424118369}"
2,ridge,8,70.15978547086405,COMPLETE,"{""alpha"": 0.006345824399031277}"
2,ridge,9,77.99080674552631,COMPLETE,"{""alpha"": 0.002065590157180846}"
2,ridge,10,20.706448614777408,COMPLETE,"{""alpha"": 24.006081225844305}"
2,ridge,11,20.309301411775486,COMPLETE,"{""alpha"": 98.88687849407218}"
2,ridge,12,20.288451178745905,COMPLETE,"{""alpha"": 60.31782517421386}"
2,ridge,13,20.273678630709007,COMPLETE,"{""alpha"": 66.07873081353307}"
2,ridge,14,20.266818124249774,COMPLETE,"{""alpha"": 71.54196851976768}"
2,ridge,15,22.007259819795998,COMPLETE,"{""alpha"": 8.882870577649916}"
2,ridge,16,22.79414006075747,COMPLETE,"{""alpha"": 6.3320552913312165}"
2,ridge,17,43.3254033310075,COMPLETE,"{""alpha"": 0.26086657133177704}"
2,ridge,18,20.4323155379955,COMPLETE,"{""alpha"": 38.5749355749667}"
2,ridge,19,20.29372671344167,COMPLETE,"{""alpha"": 91.14558504406905}"
2,random_forest,0,22.302396605105137,COMPLETE,"{""max_depth"": 17, ""max_features"": 0.673014505052933, ""min_samples_leaf"": 5, ""n_estimators"": 100}"
2,random_forest,1,22.435800302788174,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.6588117786980308, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
2,random_forest,2,21.771925015149872,COMPLETE,"{""max_depth"": 17, ""max_features"": 0.6213914645108469, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
2,random_forest,3,24.28211959308672,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.9082196135972961, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
2,random_forest,4,29.78178436938752,COMPLETE,"{""max_depth"": 13, ""max_features"": 0.9735265340080184, ""min_samples_leaf"": 1, ""n_estimators"": 125}"
2,random_forest,5,25.401127680930124,COMPLETE,"{""max_depth"": 19, ""max_features"": 0.9525900082197601, ""min_samples_leaf"": 2, ""n_estimators"": 250}"
2,random_forest,6,23.285998234268256,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.731324607025594, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
2,random_forest,7,23.120625226080097,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.6577285236381651, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
2,random_forest,8,24.70593929588941,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.9069980777654898, ""min_samples_leaf"": 2, ""n_estimators"": 75}"
2,random_forest,9,20.857794513356694,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.539546727293778, ""min_samples_leaf"": 8, ""n_estimators"": 150}"
2,random_forest,10,20.92351417915086,COMPLETE,"{""max_depth"": 5, ""max_features"": 0.5274271373748176, ""min_samples_leaf"": 8, ""n_estimators"": 250}"
2,random_forest,11,20.966300969673696,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.5264921781473225, ""min_samples_leaf"": 8, ""n_estimators"": 250}"
2,random_forest,12,20.94522934840246,COMPLETE,"{""max_depth"": 5, ""max_features"": 0.5018286175943044, ""min_samples_leaf"": 8, ""n_estimators"": 200}"
2,random_forest,13,21.72992849133094,COMPLETE,"{""max_depth"": 7, ""max_features"": 0.5648241308727352, ""min_samples_leaf"": 7, ""n_estimators"": 225}"
2,random_forest,14,21.774273754810583,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.5803369780763625, ""min_samples_leaf"": 7, ""n_estimators"": 175}"
2,random_forest,15,23.288109552619442,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.7456511849556626, ""min_samples_leaf"": 7, ""n_estimators"": 150}"
2,random_forest,16,21.565166228335563,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.5741789422014585, ""min_samples_leaf"": 8, ""n_estimators"": 225}"
2,random_forest,17,20.50217952668056,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.5002518011126585, ""min_samples_leaf"": 6, ""n_estimators"": 75}"
2,random_forest,18,23.38115144338162,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.795935882671126, ""min_samples_leaf"": 4, ""n_estimators"": 75}"
2,random_forest,19,21.806309251621556,COMPLETE,"{""max_depth"": 7, ""max_features"": 0.6130978589810687, ""min_samples_leaf"": 6, ""n_estimators"": 100}"
2,gradient_boosting,0,26.67107499501686,COMPLETE,"{""learning_rate"": 0.01346363784643159, ""max_depth"": 2, ""min_samples_leaf"": 4, ""n_estimators"": 100}"
2,gradient_boosting,1,27.09721582236144,COMPLETE,"{""learning_rate"": 0.01919385953985744, ""max_depth"": 5, ""min_samples_leaf"": 6, ""n_estimators"": 50}"
2,gradient_boosting,2,34.529199520960766,COMPLETE,"{""learning_rate"": 0.046270746864632374, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 175}"
2,gradient_boosting,3,25.59696226468592,COMPLETE,"{""learning_rate"": 0.012782707757995618, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
2,gradient_boosting,4,38.39882190497711,COMPLETE,"{""learning_rate"": 0.07081500767852503, ""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 50}"
2,gradient_boosting,5,25.282928002100576,COMPLETE,"{""learning_rate"": 0.011440510700581656, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 250}"
2,gradient_boosting,6,25.985277254942694,COMPLETE,"{""learning_rate"": 0.0708160541849514, ""max_depth"": 5, ""min_samples_leaf"": 7, ""n_estimators"": 175}"
2,gradient_boosting,7,38.33905591781574,COMPLETE,"{""learning_rate"": 0.09809678078236334, ""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 250}"
2,gradient_boosting,8,24.861745358865953,COMPLETE,"{""learning_rate"": 0.035559298034224605, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 175}"
2,gradient_boosting,9,25.259812226898894,COMPLETE,"{""learning_rate"": 0.02767889759691679, ""max_depth"": 2, ""min_samples_leaf"": 2, ""n_estimators"": 225}"
2,gradient_boosting,10,26.201665977434697,COMPLETE,"{""learning_rate"": 0.1917679664996642, ""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 175}"
2,gradient_boosting,11,23.813204511782864,COMPLETE,"{""learning_rate"": 0.030068133075716562, ""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
2,gradient_boosting,12,26.318425997993625,COMPLETE,"{""learning_rate"": 0.03152092004724434, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
2,gradient_boosting,13,24.54616002681894,COMPLETE,"{""learning_rate"": 0.03176172674522381, ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 125}"
2,gradient_boosting,14,24.546791623641752,COMPLETE,"{""learning_rate"": 0.021357484757434184, ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 125}"
2,gradient_boosting,15,27.362241824737186,COMPLETE,"{""learning_rate"": 0.049449752418253, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 100}"
2,gradient_boosting,16,28.14912720892652,COMPLETE,"{""learning_rate"": 0.018317750021225307, ""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 125}"
2,gradient_boosting,17,24.602951886711786,COMPLETE,"{""learning_rate"": 0.045844973689993164, ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 150}"
2,gradient_boosting,18,27.166765719933057,COMPLETE,"{""learning_rate"": 0.026982429120368943, ""max_depth"": 3, ""min_samples_leaf"": 3, ""n_estimators"": 75}"
2,gradient_boosting,19,27.874781685869856,COMPLETE,"{""learning_rate"": 0.11538660074294524, ""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 225}"
3,ridge,0,20.1186862868529,COMPLETE,"{""alpha"": 0.002114326164733786}"
3,ridge,1,15.16682947702283,COMPLETE,"{""alpha"": 12.929183450785697}"
3,ridge,2,21.474325480079617,COMPLETE,"{""alpha"": 0.001599618924147407}"
3,ridge,3,20.68030326395388,COMPLETE,"{""alpha"": 0.7659128539246933}"
3,ridge,4,13.636341065247908,COMPLETE,"{""alpha"": 46.92499714701238}"
3,ridge,5,24.272928384644555,COMPLETE,"{""alpha"": 0.04023060143775965}"
3,ridge,6,23.209149590590645,COMPLETE,"{""alpha"": 0.1454363822729776}"
3,ridge,7,23.939182959898186,COMPLETE,"{""alpha"": 0.07604814624456031}"
3,ridge,8,19.984770500615788,COMPLETE,"{""alpha"": 1.1333162923455522}"
3,ridge,9,23.996184124586712,COMPLETE,"{""alpha"": 0.07113915345444469}"
3,ridge,10,13.776598244681503,COMPLETE,"{""alpha"": 37.002781884091874}"
3,ridge,11,13.572045777439175,COMPLETE,"{""alpha"": 68.48609456009464}"
3,ridge,12,13.569321276636183,COMPLETE,"{""alpha"": 65.39114041873667}"
3,ridge,13,17.342663356967773,COMPLETE,"{""alpha"": 4.350588130020292}"
3,ridge,14,13.624028916844187,COMPLETE,"{""alpha"": 85.96541653444422}"
3,ridge,15,16.378319831605786,COMPLETE,"{""alpha"": 6.945762255481638}"
3,ridge,16,14.265752994649157,COMPLETE,"{""alpha"": 22.751878577872308}"
3,ridge,17,18.297212661980698,COMPLETE,"{""alpha"": 2.7195089107558195}"
3,ridge,18,13.569479253172478,COMPLETE,"{""alpha"": 63.67165325922171}"
3,ridge,19,15.247197054074388,COMPLETE,"{""alpha"": 12.370079727536881}"
3,random_forest,0,21.573425291603023,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.7100155273996355, ""min_samples_leaf"": 6, ""n_estimators"": 75}"
3,random_forest,1,19.165963716642377,COMPLETE,"{""max_depth"": 19, ""max_features"": 0.5542864465470418, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
3,random_forest,2,19.38960966786505,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.5372170442715637, ""min_samples_leaf"": 6, ""n_estimators"": 100}"
3,random_forest,3,24.373710844114406,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.9995074397257919, ""min_samples_leaf"": 2, ""n_estimators"": 200}"
3,random_forest,4,23.908765870753292,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.9289275447697978, ""min_samples_leaf"": 2, ""n_estimators"": 250}"
3,random_forest,5,23.07520760810109,COMPLETE,"{""max_depth"": 7, ""max_features"": 0.6639611558162706, ""min_samples_leaf"": 1, ""n_estimators"": 225}"
3,random_forest,6,19.744183204719093,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.6290984792644931, ""min_samples_leaf"": 6, ""n_estimators"": 175}"
3,random_forest,7,21.161334374327858,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.8296763117540229, ""min_samples_leaf"": 5, ""n_estimators"": 225}"
3,random_forest,8,20.215748304825773,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.590033351551851, ""min_samples_leaf"": 4, ""n_estimators"": 150}"
3,random_forest,9,21.778149678588772,COMPLETE,"{""max_depth"": 17, ""max_features"": 0.7375842170230085, ""min_samples_leaf"": 3, ""n_estimators"": 200}"
3,random_forest,10,21.269226404267968,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.8284438039515212, ""min_samples_leaf"": 8, ""n_estimators"": 125}"
3,random_forest,11,19.556813897817253,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.5004409621786857, ""min_samples_leaf"": 8, ""n_estimators"": 75}"
3,random_forest,12,19.646523917694015,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.5108184978983841, ""min_samples_leaf"": 7, ""n_estimators"": 100}"
3,random_forest,13,19.025029958370155,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.5710047506612053, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
3,random_forest,14,19.888973404645967,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.6015178950151122, ""min_samples_leaf"": 8, ""n_estimators"": 125}"
3,random_forest,15,19.176907708714786,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.5762179903632634, ""min_samples_leaf"": 7, ""n_estimators"": 150}"
3,random_forest,16,20.25280486448741,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.6757112795301772, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
3,random_forest,17,19.722835008456464,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.5529303111934516, ""min_samples_leaf"": 5, ""n_estimators"": 100}"
3,random_forest,18,20.868410686757095,COMPLETE,"{""max_depth"": 17, ""max_features"": 0.7679477394770893, ""min_samples_leaf"": 7, ""n_estimators"": 150}"
3,random_forest,19,20.000268933711485,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.6402212761697265, ""min_samples_leaf"": 8, ""n_estimators"": 75}"
3,gradient_boosting,0,27.556962204626323,COMPLETE,"{""learning_rate"": 0.10022486206711212, ""max_depth"": 3, ""min_samples_leaf"": 1, ""n_estimators"": 100}"
3,gradient_boosting,1,23.23970114388198,COMPLETE,"{""learning_rate"": 0.027200500930192547, ""max_depth"": 4, ""min_samples_leaf"": 4, ""n_estimators"": 100}"
3,gradient_boosting,2,23.686356419711093,COMPLETE,"{""learning_rate"": 0.020010673262251626, ""max_depth"": 5, ""min_samples_leaf"": 6, ""n_estimators"": 75}"
3,gradient_boosting,3,23.543946574150237,COMPLETE,"{""learning_rate"": 0.022252980718303155, ""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 50}"
3,gradient_boosting,4,21.580516752326158,COMPLETE,"{""learning_rate"": 0.08266599424575934, ""max_depth"": 3, ""min_samples_leaf"": 6, ""n_estimators"": 225}"
3,gradient_boosting,5,23.25836104852142,COMPLETE,"{""learning_rate"": 0.02609446511984153, ""max_depth"": 4, ""min_samples_leaf"": 7, ""n_estimators"": 50}"
3,gradient_boosting,6,20.294514704633592,COMPLETE,"{""learning_rate"": 0.1521799617172713, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
3,gradient_boosting,7,26.732368487069,COMPLETE,"{""learning_rate"": 0.01632897775137777, ""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 225}"
3,gradient_boosting,8,22.987824404796815,COMPLETE,"{""learning_rate"": 0.018950687891951045, ""max_depth"": 5, ""min_samples_leaf"": 8, ""n_estimators"": 225}"
3,gradient_boosting,9,27.803565311096435,COMPLETE,"{""learning_rate"": 0.0244885993938783, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 225}"
3,gradient_boosting,10,21.98716617238393,COMPLETE,"{""learning_rate"": 0.1998569908667216, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 175}"
3,gradient_boosting,11,20.496512513451087,COMPLETE,"{""learning_rate"": 0.0824597970271329, ""max_depth"": 2, ""min_samples_leaf"": 6, ""n_estimators"": 175}"
3,gradient_boosting,12,20.739753090800253,COMPLETE,"{""learning_rate"": 0.07774613345285424, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 175}"
3,gradient_boosting,13,19.38251473435407,COMPLETE,"{""learning_rate"": 0.15935060943428808, ""max_depth"": 2, ""min_samples_leaf"": 8, ""n_estimators"": 175}"
3,gradient_boosting,14,22.702055847376737,COMPLETE,"{""learning_rate"": 0.19542485721177377, ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 150}"
3,gradient_boosting,15,20.438194704412222,COMPLETE,"{""learning_rate"": 0.12142263167762969, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 150}"
3,gradient_boosting,16,22.618099492291968,COMPLETE,"{""learning_rate"": 0.04836830495804009, ""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 250}"
3,gradient_boosting,17,23.099893767647643,COMPLETE,"{""learning_rate"": 0.01029357039355369, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 150}"
3,gradient_boosting,18,19.98974119936218,COMPLETE,"{""learning_rate"": 0.14121377312645744, ""max_depth"": 2, ""min_samples_leaf"": 8, ""n_estimators"": 200}"
3,gradient_boosting,19,21.940233375465564,COMPLETE,"{""learning_rate"": 0.13180614509826089, ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 125}"
4,ridge,0,20.25167254560571,COMPLETE,"{""alpha"": 0.09405477980186695}"
4,ridge,1,82.71273884260619,COMPLETE,"{""alpha"": 0.009795648790157404}"
4,ridge,2,53.036776950169646,COMPLETE,"{""alpha"": 0.01879989090326043}"
4,ridge,3,17.605977669454212,COMPLETE,"{""alpha"": 11.033841416855312}"
4,ridge,4,18.047756127241573,COMPLETE,"{""alpha"": 9.551593513561611}"
4,ridge,5,23.70286343037495,COMPLETE,"{""alpha"": 0.15199928633693308}"
4,ridge,6,15.360947255501804,COMPLETE,"{""alpha"": 27.971906220825883}"
4,ridge,7,49.747285393185294,COMPLETE,"{""alpha"": 0.020482216351448368}"
4,ridge,8,79.15423001840688,COMPLETE,"{""alpha"": 0.010515027136782278}"
4,ridge,9,26.496482248246657,COMPLETE,"{""alpha"": 0.2832220352804781}"
4,ridge,10,14.2698122343389,COMPLETE,"{""alpha"": 79.0318314957773}"
4,ridge,11,14.29844167477491,COMPLETE,"{""alpha"": 72.76780487836682}"
4,ridge,12,14.251645806340074,COMPLETE,"{""alpha"": 85.26343846838323}"
4,ridge,13,23.171111505764465,COMPLETE,"{""alpha"": 2.2783849605090474}"
4,ridge,14,14.305391592389316,COMPLETE,"{""alpha"": 71.55488426970555}"
4,ridge,15,178.1880036669907,COMPLETE,"{""alpha"": 0.0011986077291019815}"
4,ridge,16,23.35079280484408,COMPLETE,"{""alpha"": 2.1676419027677905}"
4,ridge,17,21.80017833114859,COMPLETE,"{""alpha"": 3.2887493545460327}"
4,ridge,18,14.238933603591295,COMPLETE,"{""alpha"": 95.96104469996699}"
4,ridge,19,15.756368573865434,COMPLETE,"{""alpha"": 22.809305669392796}"
4,random_forest,0,18.61910110565593,COMPLETE,"{""max_depth"": 19, ""max_features"": 0.7852124345407848, ""min_samples_leaf"": 1, ""n_estimators"": 200}"
4,random_forest,1,16.39189738438987,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.5907694607366974, ""min_samples_leaf"": 6, ""n_estimators"": 175}"
4,random_forest,2,16.950231127286663,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.748462328745093, ""min_samples_leaf"": 8, ""n_estimators"": 125}"
4,random_forest,3,16.53727154013565,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.6059557001297833, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
